120	3	18	0	2	1	3	1	2.4318695068359375e-05
120	3	18	1	2	1	3	1	0.0001697540283203125
120	3	18	4	6	3	3	3	0.00010061264038085938
120	3	18	6	6	3	3	3	0.012942790985107422
180	6	19	0	2	1	6	1	3.147125244140625e-05
180	6	19	1	2	1	6	1	0.00011086463928222656
180	6	19	4	12	6	6	6	9.489059448242188e-05
180	6	19	6	12	6	6	6	0.023085594177246094
240	11	8	0	4	2	10	2	1.6927719116210938e-05
240	11	8	1	4	2	10	2	0.0005249977111816406
240	11	8	4	16	8	10	8	8.344650268554688e-05
240	11	8	6	16	8	10	8	0.03627347946166992
300	18	25	0	4	2	14	2	2.5033950805664062e-05
300	18	25	1	4	2	14	2	0.00013375282287597656
300	18	25	4	36	18	14	18	0.00017404556274414062
300	18	25	6	36	18	14	18	0.06588196754455566
360	31	18	0	10	5	17	5	1.8596649169921875e-05
360	31	18	1	10	5	17	5	0.0003199577331542969
360	31	18	4	36	18	17	18	9.512901306152344e-05
360	31	18	6	36	18	17	18	0.057602882385253906
420	30	16	0	12	6	17	6	2.288818359375e-05
420	30	16	1	12	6	17	6	0.00010728836059570312
420	30	16	4	32	16	17	16	7.295608520507812e-05
420	30	16	6	32	16	17	16	0.05166769027709961
480	34	21	0	14	7	19	7	0.0002002716064453125
480	34	21	1	14	7	19	7	0.0006959438323974609
480	34	21	4	42	21	19	21	0.0001652240753173828
480	34	21	6	42	21	19	21	0.0787038803100586
540	25	19	0	8	4	16	4	1.7404556274414062e-05
540	25	19	1	8	4	16	4	0.00013065338134765625
540	25	19	4	38	19	16	19	0.0003044605255126953
540	25	19	6	38	19	16	19	0.06202435493469238
600	40	19	0	10	5	28	5	2.193450927734375e-05
600	40	19	1	10	5	28	5	0.00018978118896484375
600	40	19	4	38	19	28	19	0.0001361370086669922
600	40	19	6	38	19	28	19	0.06065535545349121
660	36	17	0	12	6	20	6	2.9325485229492188e-05
660	36	17	1	12	6	20	6	0.00014495849609375
660	36	17	4	34	17	20	17	0.00015664100646972656
660	36	17	6	34	17	20	17	0.05466794967651367
720	34	22	0	12	6	24	6	2.6464462280273438e-05
720	34	22	1	12	6	24	6	0.0002181529998779297
720	34	22	4	44	22	24	22	0.00012993812561035156
720	34	22	6	44	22	24	22	0.06682991981506348
780	36	18	0	10	5	25	5	2.193450927734375e-05
780	36	18	1	10	5	25	5	0.00014472007751464844
780	36	18	4	36	18	25	18	0.00017905235290527344
780	36	18	6	36	18	25	18	0.05986356735229492
840	31	15	0	6	3	23	3	1.9073486328125e-05
840	31	15	1	6	3	23	3	0.00016260147094726562
840	31	15	4	30	15	23	15	0.00014781951904296875
840	31	15	6	30	15	23	15	0.04105401039123535
900	43	15	0	8	4	28	4	1.8358230590820312e-05
900	43	15	1	8	4	28	4	0.0003268718719482422
900	43	15	4	30	15	28	15	0.0002262592315673828
900	43	15	6	30	15	28	15	0.048363685607910156
960	46	25	0	12	6	25	6	2.193450927734375e-05
960	46	25	1	12	6	25	6	0.0002574920654296875
