***Starting server on port 54627 ***
Loading net-file from 'scenario/lust/lust.net.xml' ... done (963ms).
Loading additional-files from 'scenario/lust/vtypes.add.xml' ... done (5ms).
Loading additional-files from 'scenario/lust/busstops.add.xml' ... done (10ms).
Loading additional-files from 'scenario/lust/e1detectors.add.xml' ... done (95ms).
Loading additional-files from 'scenario/lust/lust.poly.xml' ... done (387ms).
Loading additional-files from 'scenario/lust/tll.static.xml' ... done (16ms).
Loading done.
Simulation version 1.4.0 started with time: 0.00
Warning: Vehicle '3BEtoLU.120' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=13771.00.
Warning: Vehicle 'carIn3108:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=13824.00.
Warning: Vehicle '3BEtoLU.133' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14090.00.
Warning: Vehicle 'carIn1679:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14218.00.
Warning: Vehicle 'randUni16452:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14348.00.
Warning: Vehicle '4FRtoLU.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14448.00.
Warning: Vehicle 'randUni14327:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14626.00.
Warning: Vehicle 'h23502c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14632.00.
Warning: Vehicle '4BEtoLU.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=14884.00.
Warning: Vehicle '4BEtoLU.25' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15216.00.
Warning: Vehicle '4BEtoLU.36' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15335.00.
Warning: Vehicle '4BEtoLU.37' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15365.00.
Warning: Vehicle 'h65254c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15631.00.
Warning: Vehicle '4BEtoLU.54' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15790.00.
Warning: Vehicle 'h57046c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15963.00.
Warning: Vehicle '4BEtoLU.63' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=15971.00.
Warning: Vehicle '4DEtoLU.77' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16126.00.
Warning: Vehicle 'carIn13670:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16331.00.
Warning: Vehicle '4BEtoLU.85' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16372.00.
Warning: Vehicle 'carIn38602:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16562.00.
Warning: Vehicle '4BEtoLU.97' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16640.00.
Warning: Vehicle 'carIn28313:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16655.00.
Warning: Vehicle 'carIn26273:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16686.00.
Warning: Vehicle '4BEtoLU.100' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16689.00.
Warning: Vehicle '4FRtoDE.109' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16729.00.
Warning: Vehicle 'randUni12293:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16771.00.
Warning: Vehicle 'carIn16631:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16776.00.
Warning: Vehicle '4FRtoBE.122' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16816.00.
Warning: Vehicle 'carIn30993:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=16934.00.
Warning: Vehicle 'carIn49373:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17243.00.
Warning: Vehicle 'carIn30820:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17400.00.
Warning: Vehicle 'carIn34333:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17456.00.
Warning: Vehicle 'carIn38598:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17506.00.
Warning: Vehicle 'randUni10266:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17547.00.
Warning: Vehicle 'randUni13864:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17663.00.
Warning: Vehicle '4FRtoBE.167' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17774.00.
Warning: Vehicle 'carIn20543:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=17973.00.
Warning: Vehicle 'carIn37328:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18085.00.
Warning: Vehicle '4BEtoLU.179' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18135.00.
Warning: Vehicle '4BEtoLU.180' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18160.00.
Warning: Vehicle 'carIn13442:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18216.00.
Warning: Vehicle '5BEtoLU.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18258.00.
Warning: Vehicle 'randUni10628:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18340.00.
Warning: Vehicle '5BEtoLU.10' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18378.00.
Warning: Vehicle '5BEtoLU.16' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18442.00.
Warning: Vehicle 'h58867c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18461.00.
